upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1647	swear01	abcd1023c4058ce54e5d52731b2e0ea185a752a5	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1646	swear01	648528074c157445ad8c4035f3d0fdc34e39ca0e	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1644	junmo-kim	61d9b66cbca8716099235c0727aed363923a517d	defer	ready	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1642	junmo-kim	ccc098bf7bb5df49acc5e432a93fe132c4a06dcb	defer	merge-unstable	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1640	wu736139669	2995ec379af773fff09cd1061a911b44135e10a5	defer	ready	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1637	techotaku39	0d66ab5233bd62e7c16de38490166471d7cf75db	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1636	techotaku39	60db9468d95b5197cbc49984f022256057f25dbe	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1635	swear01	6c65104bb7c8878c232cb20c22669b9998cd6fb5	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1633	NightWatcher314	4e597e4739022eabadc49d328148ae4d01392d97	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1632	swear01	b92b3e0ad8dc4c9b55105dfe4c8c6aafced8f20f	defer	merge-unknown	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1629	Overbaker	13c500388806a1c830d9832aab1763b152935ac8	defer	ready	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1627	KorenKrita	3fc51785661635c75c5ad72c281a6ede62bf9ecc	defer	ready	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1625	techotaku39	9aa1668bc6f76e6d205b1f26e677902c2bec5f59	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1621	techotaku39	e56cecc6ebc759c37ec4680b19c723f7fc968d7b	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1620	heavygee	725fd69452ad2eb660b2af419f28c72e43de29c0	defer	ready	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1618	heavygee	c1a2384009e868c922ebfa183d1586db2c26ea9a	defer	ready	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1617	techotaku39	2f2396ff8d5948de76b183601e26395d9b6d9b8e	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1616	techotaku39	455917d62f10cbc2034dc08de5b51ee957ee18ee	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1615	techotaku39	1732dcfc1edf4c879f483a2c0ee6c04d46169c3b	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1614	MAOJIASONG	5d638beae5d2c0ca26d6944063cda2de42fbb18c	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1613	heavygee	82caab248e7a20255eea0059432edd9f2a9af88f	defer	ready	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1611	techotaku39	b0b38439a14a2fbf0b3dbcc77eead44defb5f335	defer	merge-unknown	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1610	swear01	2c46a9d0664899e2d0266ab81e940e3bd58cc78d	defer	merge-dirty	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1607	swear01	17d22112e96917d0ff0ffdfe95de750f571b823c	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1605	junmo-kim	69e276ee3be69014c299da1a2dd4ffc01e66b412	defer	ready	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1604	techotaku39	426b84dec54bd78b8d03da379f7f4acb680f90d9	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1603	techotaku39	2fbdb4f1f4c5e89da4890e1244e9be93dd70bb71	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1600	techotaku39	96f7f3560b22688d6e61084226cb36b622d1e3eb	defer	draft	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1599	techotaku39	fffbe5dedf8fe33874174e01905d689de68a4b0f	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1598	techotaku39	bf5a068b798aef67394d9627e6502901288c79a0	defer	merge-unknown	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1597	swear01	55db80dd5b67d774e5c5dba7bf120188cedec7f4	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1592	techotaku39	67112915c48b949df6f2311d4de7cf040c1019aa	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1585	junmo-kim	3ec75e28365f3eb9efa5f18b4f3a0f6d3c487357	defer	ready	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1581	techotaku39	ac2750164e3b10b49e99b190bab4eb57ad489b32	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1567	3em0	aa7fdf0f5bfbacf811cf745409ae7aacb9c84bc3	defer	merge-unknown	review	review	-	review-huge	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1564	heavygee	05556714d4b52dae4fd0b6ab53ec72c7eb9a90ae	defer	ready	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1543	techotaku39	2d6dbd4de8e78209d0ac06c57fc27dcc6ec8a373	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1542	swear01	7d8c12c4d4d363f3cc7b2ee6f06fa0969b5e24b3	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1537	zj1123581321	693aed6e40beed850caeb65ac32fb4e6d68442d5	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1528	7bata	3517c527077d71033ec3782185ca4cf6d280d0f4	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1527	7bata	597c28d6bcb5dd2fc8938197d60e5dea9d327821	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1525	7bata	85e5ec888140097893bdf30dfe1b101145d2c54e	defer	merge-unknown	review	review	-	review	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1523	techotaku39	c786745be13f42b18acc0d04927356ac95bd4237	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
pr-1517	TimChesko	d9767f92f0beb3a245ed2329030126441676e8e0	defer	merge-unknown	review	review	-	review-large	review	Not selected for this fixed official-v0.29.0 maintenance release; current open head is not replayed.
