upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1480	swear01	69aa1622227e9302155ef669d9f09848540032e8	carry	ready	review	review	-	review-large	review	additions=743,deletions=164,files=26
pr-1477	heavygee	ba518f2ec868cefb5f5daf3045af7aa623526d68	review	ready	review	review	-	review-large	review	additions=719,deletions=106,files=23
pr-1475	swear01	9132211487318215429e9339422ec271f75035f8	carry	merge-unknown	review	review	-	review	review	additions=491,deletions=123,files=10
pr-1474	swear01	aaabfb2efb9995b299b0ce0bda4cd242fb51aa1b	carry	merge-unknown	review	review	-	review	review	additions=190,deletions=21,files=8
pr-1473	heavygee	07e775cd69d45e04beccf61c8db8abbf9ca91667	review	ready	review	review	-	review-huge	review	additions=6772,deletions=245,files=107
pr-1471	Kryptonzy	a74d4ad4e42b36513bf8826c858bbe24d6926ab7	review	merge-unknown	review	review	-	review	review	additions=38,deletions=7,files=2
pr-1469	swear01	77f668678a4e27e251136773e5569a024cbbf6dd	carry	merge-unknown	review	review	-	review	review	additions=434,deletions=229,files=19
pr-1468	swear01	f16fe64c2e86023e1ab40bc530477b7b4d4d5632	carry	merge-unknown	review	review	-	review-large	review	additions=1087,deletions=46,files=21
pr-1462	techotaku39	e84f8a4ff6b49891f72012a72ccfbb1f2f46594a	review	merge-unstable	review	review	-	review	review	additions=319,deletions=23,files=7
pr-1451	swear01	2877e73d28921019bfae786a6406cbf38aa1a70d	carry	merge-unknown	review	review	-	review	review	additions=173,deletions=30,files=11
pr-1447	wu736139669	df3e0e9e78f02ffdd6e4d84395fb26aaa7830d1a	review	ready	review	review	-	review	review	additions=146,deletions=8,files=8
pr-1443	wu736139669	c0f78cc2a4c10d9cf50b36f269e255e033f11567	review	merge-unstable	review	review	-	review-huge	review	additions=2014,deletions=120,files=46
pr-1436	swear01	7a57fc142d2dd6f19857c79d5c529b82b23063a6	carry	merge-unknown	review	review	-	review	review	additions=802,deletions=74,files=7
pr-1429	wu736139669	860771570f3c775780040f2ad815ca022677e182	review	merge-unstable	review	review	-	review-large	review	additions=2991,deletions=107,files=27
pr-1424	heavygee	65eb54481de26da1c1875b3eed006a5b2dfd13e5	review	ready	review	review	-	review-huge	review	additions=5751,deletions=166,files=83
pr-1422	techotaku39	5ae02d6caed360298761decc20e1f23db6d880da	review	ready	review	review	-	review	review	additions=217,deletions=18,files=8
pr-1421	swear01	3f0cfe6578405338b295e97f0c8a874874076ad0	carry	merge-unknown	review	review	-	review	review	additions=107,deletions=20,files=4
pr-1419	swear01	adb0ad029640aeae8dd821d62af7ee790ec95b12	carry	merge-unknown	review	review	-	review	review	additions=419,deletions=39,files=7
pr-1418	swear01	58a84ed53ab9beb12b678882dd2430a1c3a09f98	carry	merge-unknown	review	review	-	review	review	additions=115,deletions=2,files=6
pr-1414	techotaku39	242beb9e6bd400804aa0057e862e50f94d34bcc2	review	ready	review	review	-	review-huge	review	additions=7320,deletions=423,files=113
pr-1413	heavygee	54603b788c03a41efbecdfc3649eaf4cb42da90b	review	ready	review	review	-	review	review	additions=629,deletions=34,files=8
pr-1361	Himehane	9ab90d3e4be976a839bfcfe296dfb65487ddeb20	review	merge-unknown	review	review	-	review	review	additions=309,deletions=17,files=2
pr-1360	wu736139669	0eda13503288d2016fc766ae7e7322cd3027f184	review	ready	review	review	-	review-huge	review	additions=2350,deletions=55,files=42
pr-1351	yin1245	feb70174798df546512ebd9096768c94ddead945	review	merge-unknown	review	review	-	review-large	review	additions=913,deletions=28,files=22
pr-1309	techotaku39	01a98c4efd4ddcfb0b8278c936ddd346f7e30936	review	draft	review	review	-	review	review	additions=957,deletions=195,files=13
pr-1257	hqhq1025	6957978424f74209dca9295699137179282e80ad	review	merge-unknown	review	review	-	review	review	additions=287,deletions=9,files=2
pr-1242	hqhq1025	2c7a46f98f49a23e638f5188a6960ddc937cade3	review	merge-unknown	review	review	-	review	review	additions=326,deletions=64,files=11
pr-1212	hqhq1025	93d8678da8535c3a812e166f43961c1c4ff50f92	review	merge-unknown	review	review	-	review-large	review	additions=1224,deletions=7,files=21
pr-1193	mrrnb	999f1d1170d382cc4fd5e5fdf6e0a6ab4a0bf65f	review	draft	review	review	-	review	review	additions=60,deletions=5,files=2
pr-1189	tiann	5f949783ad2123d865d758a921681245683f899d	review	merge-unknown	review	review	-	review	review	additions=113,deletions=11,files=4
pr-1188	tiann	1f23f857e4173a25f969879ef139487ec1c9955e	review	merge-unknown	review	review	-	review	review	additions=60,deletions=0,files=2
pr-1163	heavygee	4975731f3d24d05c445485c653533ec552dbe171	review	draft	review	review	-	review-huge	review	additions=2489,deletions=75,files=56
pr-1158	techotaku39	9ea45c1497bb1a15b796ee23fd4059dcb3e7b2c2	review	ready	review	review	-	review	review	additions=173,deletions=9,files=4
pr-1157	techotaku39	b62788b053616a9b2f02b118116a917bec253be9	review	draft	review	review	-	review	review	additions=233,deletions=10,files=9
pr-1126	GoldenZqqq	31ce48080df1a62150e9fe7e0a86fde511ef3cc2	review	merge-unknown	review	review	-	review	review	additions=389,deletions=25,files=7
pr-1108	heavygee	01c30eccd3cc960f2bfea9968a2060846a852566	review	ready	review	review	-	review-huge	review	additions=10588,deletions=233,files=96
pr-1099	NPUlrk	91116cd9089107625d95ae2bc99fa615ef87d6a6	review	merge-unknown	review	review	-	review	review	additions=152,deletions=16,files=3
pr-1093	techotaku39	c94fa5fccd41f5f8113585b0afef737664d5f0c6	review	ready	review	review	-	review	review	additions=799,deletions=35,files=12
pr-1092	zulinliu	4427e6e08b2fed4429c793af2841f7f47fb70bac	review	merge-unknown	review	review	-	review-huge	review	additions=4590,deletions=359,files=41
