upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1381	swear01	426fda851e57a084f3e87e5acac5d6efc5a9a60b	carry	ready	clear	clean	426fda851e57a084f3e87e5acac5d6efc5a9a60b	proportional	preserve	personal-author auto-carry; ready+MERGEABLE; latest-head HAPI Bot no findings on 426fda85; React #185 MessageActions fix
pr-1379	KorenKrita	c8fe9c76fa6421c9e8980d858040f8bbe782609f	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=58,deletions=2,files=2
pr-1378	techotaku39	9f802f8ed9c33df72d031cc80e1b3b93020c6a2f	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=294,deletions=98,files=10
pr-1377	KorenKrita	79ecceb116e0d03f7a523128ef8a68c259f6636b	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=92,deletions=9,files=3
pr-1376	heavygee	eb3f9ffd89de87e2cf4cbd4e2f99a05dfb4f7a82	defer	ready	clear	missing	-	review-large	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=657,deletions=53,files=30
pr-1373	heavygee	4428dbe38edd71cbf26a7ef413d126cba5cb1803	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=383,deletions=37,files=17
pr-1372	heavygee	85f6fffc9f560548977debb73a82dfdc43e3b43f	defer	ready	clear	missing	-	review-large	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=890,deletions=62,files=29
pr-1368	techotaku39	c8fad5a9d98744193f2545d4799f9ec7e72be735	defer	merge-dirty	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=merge-dirty; additions=164,deletions=21,files=6
pr-1367	techotaku39	060c5601b514d231aae5bff42d158dbd3401d50c	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=99,deletions=53,files=2
pr-1365	KorenKrita	7f13fb18618d6320e6ac5b8efa12dead98c915b1	defer	ready	clear	missing	-	review-large	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=2455,deletions=37,files=34
pr-1361	Himehane	34f20d7473bedd43211bd2aa008816869b7a62a9	defer	merge-unstable	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=merge-unstable; additions=309,deletions=17,files=2
pr-1360	wu736139669	0d3eabeaeec762b601f9eb1ee1cc11321b44bef0	defer	ready	clear	missing	-	review-large	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=2292,deletions=73,files=38
pr-1359	wu736139669	6577917c6ba42ef8498af7b777366be23e2814ca	carry	ready	clear	clean	6577917c6ba42ef8498af7b777366be23e2814ca	proportional	preserve	ready+MERGEABLE; latest-head HAPI Bot no high-confidence issues on 6577917c; small legacy usage model fallback fix
pr-1358	teekalpha	9cc4fd599141d8a5c8e16eca3a29dc62a0bcd36b	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=74,deletions=6,files=3
pr-1354	wu736139669	4bc88bdf0ff1521f0096d263da59ab1e001a62b6	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=86,deletions=10,files=3
pr-1351	yin1245	feb70174798df546512ebd9096768c94ddead945	defer	merge-dirty	clear	missing	-	review-large	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=merge-dirty; additions=913,deletions=28,files=22
pr-1318	wu736139669	55746075e4240319a662014d9e8bed3eba589859	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=331,deletions=21,files=11
pr-1309	techotaku39	01a98c4efd4ddcfb0b8278c936ddd346f7e30936	defer	draft	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=draft; additions=957,deletions=195,files=13
pr-1257	hqhq1025	6957978424f74209dca9295699137179282e80ad	defer	ready	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=ready; additions=287,deletions=9,files=2
pr-1242	hqhq1025	2c7a46f98f49a23e638f5188a6960ddc937cade3	defer	merge-dirty	clear	missing	-	proportional	not-accepted	defer: not selected for v0.26.0.2 hotfix; status=merge-dirty; additions=326,deletions=64,files=11
