upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1836	swear01	7b18cb88ec787189f5f32c550c0991b35e2d0bc8	defer	ready	clear	findings	7b18cb88ec787189f5f32c550c0991b35e2d0bc8	mismatch	unjustified-change	operator tighten: large personal exception deferred this round; official v0.30.2 reverted Reserve; latest-head HAPI Bot findings
pr-1831	luodeb	f920f81b2396ec64f7219697776e7e53ce1fb7f4	defer	merge-unknown	clear	missing	-	mismatch	unjustified-change	new open after v0.29.1.1; new Pi image-render behavior; wait for official or proven non-behavior polish; no latest-head HAPI Bot verdict in snapshot
pr-1826	luodeb	2317b3328b5f65ce374349e3fbf4250048d73d9e	defer	merge-unknown	clear	missing	-	proportional	preserve	new open after v0.29.1.1; small Pi title metadata fix but snapshot has no latest-head HAPI Bot verdict; carry next if still small and clean
pr-1825	heavygee	e800899bb0053917f1e33f573642ec48e0e9296b	defer	merge-unknown	clear	missing	-	mismatch	unjustified-change	new open after v0.29.1.1; auto-steer ping_peer is new CLI behavior; wait for official; no latest-head HAPI Bot verdict in snapshot
pr-1822	swear01	4fc73899fed63a56a0a465b2261a62d26abcb18e	defer	ready	clear	findings	f4915ce7875cd902e0504c66f0cea4d537e2a94f	mismatch	unjustified-change	opened after approved selection; Cursor ACP spawn/effort rewrite deferred this round
pr-1821	heavygee	9a1f5b05dafeb29e16f4a96c053aa310ad04cacb	defer	ready	clear	clean	9a1f5b05dafeb29e16f4a96c053aa310ad04cacb	mismatch	unjustified-change	opened after approved selection; idle-lifecycle is a new behavior, defer until official or next rebuild
pr-1819	swear01	7f77be104e856279398a72963bdacfcc39397bfe	defer	ready	clear	clean	7f77be104e856279398a72963bdacfcc39397bfe	proportional	preserve	kept deferred from approved set; latest-head HAPI Bot now clean after Auto-switch fix
pr-1816	HongChenGG	8e9c565f6b58ccb9ff67f221fb1d0a73a67c6f12	defer	ready	clear	findings	8e9c565f6b58ccb9ff67f221fb1d0a73a67c6f12	proportional	preserve	latest-head HAPI Bot findings
pr-1809	techotaku39	8f28b20634daac32960d81e3275e97faba65c8c2	defer	merge-unstable	clear	clean	8f28b20634daac32960d81e3275e97faba65c8c2	mismatch	preserve	defer large/sweeping change until official acceptance; latest-head HAPI Bot no findings
pr-1801	techotaku39	1a3cb18b84850c11648db504503db375a56e39ec	defer	ready	clear	clean	1a3cb18b84850c11648db504503db375a56e39ec	proportional	unjustified-change	defer new behavior/feature even if small; wait for official or proven non-behavior polish
pr-1798	techotaku39	e26502e1cc02b6ccc9e349e00b261e6807cc9ea4	defer	ready	clear	clean	e26502e1cc02b6ccc9e349e00b261e6807cc9ea4	proportional	unjustified-change	defer new behavior/feature even if small; wait for official or proven non-behavior polish
pr-1797	techotaku39	14df9508dd684702ec5368161e2943b72dab2b1e	carry	ready	clear	clean	14df9508dd684702ec5368161e2943b72dab2b1e	proportional	accepted-change	new small polish/bugfix; ready, latest-head HAPI Bot clean, no large behavior change
pr-1793	heavygee	a2f8f3a8298ea4a82c08d721696027c9a6a0e415	defer	ready	clear	findings	a2f8f3a8298ea4a82c08d721696027c9a6a0e415	proportional	unjustified-change	latest-head HAPI Bot findings
pr-1791	techotaku39	d45a4fb9d059e3cd3490ecc21a2ca97537501f53	defer	ready	clear	clean	d45a4fb9d059e3cd3490ecc21a2ca97537501f53	mismatch	unjustified-change	defer large/sweeping change until official acceptance; latest-head HAPI Bot no findings
pr-1788	techotaku39	9deaf42716996a7492ae676ebbf3992c49713aef	defer	merge-dirty	clear	missing	-	mismatch	unjustified-change	defer large/sweeping change until official acceptance; latest-head HAPI Bot no findings; head moved since v0.29.1.1
pr-1787	techotaku39	8199cd3ea3e9c888864dceb3ed22ff1f7075e931	defer	ready	clear	clean	8199cd3ea3e9c888864dceb3ed22ff1f7075e931	mismatch	unjustified-change	defer large/sweeping change until official acceptance; latest-head HAPI Bot no findings
pr-1783	junmo-kim	1abe9d1ed3b9830e6dd47415200888c64e33f27f	defer	ready	clear	clean	1abe9d1ed3b9830e6dd47415200888c64e33f27f	mismatch	preserve	defer large/sweeping change until official acceptance; latest-head HAPI Bot no findings
pr-1778	techotaku39	d4f2d098aa5e23e24697dfb05a80bd0b023d294d	defer	merge-dirty	clear	missing	-	proportional	preserve	not merge-ready against current official tip; latest-head HAPI Bot no findings; head moved since v0.29.1.1
pr-1772	techotaku39	d8479954766bb984d72269480f40e15dd56994b8	defer	merge-dirty	clear	missing	-	mismatch	unjustified-change	defer large/sweeping change until official acceptance; latest-head HAPI Bot no findings; head moved since v0.29.1.1
pr-1771	swear01	b3f4c1e17d21f798ae11a1ca23dc6c67c37f19fa	carry	merge-dirty	policy-exception	clean	7f88aed3d925bdcc4a8bfeb98e3c1fccffe62bf6	exception	accepted-change	operator keep: native session-runtime skill; dirty against new official tip so integrate via UFR overlay; PERSONAL_PR_POLICY_EXCEPTION
pr-1762	heavygee	30b531a4f494b1df058f14e75e3d04e2318e471c	defer	draft	clear	missing	-	mismatch	unjustified-change	defer large/sweeping change until official acceptance; no latest-head HAPI Bot review
pr-1758	techotaku39	e756d30a11117fcccb621e4201b6f3b39f7de531	defer	ready	clear	clean	e756d30a11117fcccb621e4201b6f3b39f7de531	proportional	unjustified-change	defer new behavior/feature even if small; wait for official or proven non-behavior polish
pr-1753	heavygee	d5fa8963fa91b825a04af6532a9d870dbd466088	defer	ready	clear	clean	d5fa8963fa91b825a04af6532a9d870dbd466088	proportional	preserve	defer new behavior/feature even if small; wait for official or proven non-behavior polish
pr-1747	wu736139669	a8e8d6e91b8c6f8a8b3495fb6ba214cdc8594eb6	defer	merge-dirty	clear	findings	a8e8d6e91b8c6f8a8b3495fb6ba214cdc8594eb6	proportional	unjustified-change	not merge-ready against current official tip; latest-head HAPI Bot Major/Blocker findings
pr-1738	heavygee	5a695fbd1bd367fe15835f9f9742cc37fe9fc160	defer	ready	clear	clean	5a695fbd1bd367fe15835f9f9742cc37fe9fc160	proportional	preserve	defer new behavior/feature even if small; wait for official or proven non-behavior polish
