upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1329	swear01	99667bc4a0b276a50dc82ee378ef8e9217320123	carry	ready	clear	clean	99667bc4a0b276a50dc82ee378ef8e9217320123	exception	accepted-change	personal-author auto-carry; 1378 additions/21 files require manual scope exception; latest-head bot is clean and tests pass
pr-1328	teekalpha	5c5c13bab70df9da2f9fa094d59f9a5a5191918a	defer	merge-dirty	clear	clean	5c5c13bab70df9da2f9fa094d59f9a5a5191918a	proportional	not-accepted	defer: merge-dirty against latest upstream after #1263 merged; normal carries require ready
pr-1322	techotaku39	5e2f0e9c491b74de1729405c5afdc5c128057c20	defer	merge-dirty	clear	clean	5e2f0e9c491b74de1729405c5afdc5c128057c20	proportional	not-accepted	defer: merge-dirty against latest upstream after #1263 merged; normal carries require ready
pr-1320	junmo-kim	d770bff310861a62776cfc6a8c6827e3420bd3f4	drop	merge-dirty	clear	missing	-	review-huge	unjustified-change	hard exclusion: Antigravity is permanently barred from personal releases
pr-1318	wu736139669	d1d5295b64ed1d10a8db1c4e39990d243cadaa8d	defer	ready	clear	findings	d1d5295b64ed1d10a8db1c4e39990d243cadaa8d	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1317	wu736139669	9f209a8e630d6607c067b7c43fceb67c1fae9dac	defer	ready	clear	findings	9f209a8e630d6607c067b7c43fceb67c1fae9dac	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1316	wu736139669	cb6dbc049e18327b78beb43d50e8ba0a708f78c4	defer	ready	clear	findings	cb6dbc049e18327b78beb43d50e8ba0a708f78c4	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1309	techotaku39	01a98c4efd4ddcfb0b8278c936ddd346f7e30936	defer	ready	blocked	findings	01a98c4efd4ddcfb0b8278c936ddd346f7e30936	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1306	techotaku39	32a81620d2193270624676e21fb8818a5f429933	defer	merge-dirty	clear	findings	32a81620d2193270624676e21fb8818a5f429933	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1300	junmo-kim	91b0b4d92a343ad6121ea08f31fe30920ab9bb57	defer	merge-dirty	clear	missing	-	review-large	not-accepted	defer: merge-dirty; latest head changed after prior review and is not release-ready
pr-1274	heavygee	46df5307c8772aa8d8db3115c6e426a34096e3ad	defer	merge-dirty	clear	clean	46df5307c8772aa8d8db3115c6e426a34096e3ad	proportional	unjustified-change	defer: clean implementation, but always-on mention placeholder and first-use callout change already-good composer onboarding behavior
pr-1257	hqhq1025	6957978424f74209dca9295699137179282e80ad	defer	ready	clear	findings	6957978424f74209dca9295699137179282e80ad	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1245	swear01	a9cebd2868eca19cf6eec241875b1d80b71e5a49	carry	merge-dirty	clear	clean	a9cebd2868eca19cf6eec241875b1d80b71e5a49	review-huge	accepted-change	personal-author auto-carry; 4222 additions across 93 files for a new first-class Copilot agent; no official maintainer acceptance recorded
pr-1242	hqhq1025	2c7a46f98f49a23e638f5188a6960ddc937cade3	defer	ready	clear	findings	2c7a46f98f49a23e638f5188a6960ddc937cade3	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1227	heavygee	0abd4d916ec67daad433ea625691320a00dae887	defer	merge-dirty	clear	clean	0abd4d916ec67daad433ea625691320a00dae887	proportional	not-accepted	defer: merge-dirty against latest upstream after #1263 merged; normal carries require ready
pr-1212	hqhq1025	93d8678da8535c3a812e166f43961c1c4ff50f92	defer	merge-dirty	clear	findings	93d8678da8535c3a812e166f43961c1c4ff50f92	review-large	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1193	mrrnb	a524dcbe734dd1c00938e7670c655c1edad0da33	defer	draft	clear	missing	-	proportional	not-accepted	defer: draft; latest head is not release-ready
pr-1189	tiann	5f949783ad2123d865d758a921681245683f899d	defer	ready	clear	findings	5f949783ad2123d865d758a921681245683f899d	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1188	tiann	1f23f857e4173a25f969879ef139487ec1c9955e	defer	merge-dirty	clear	findings	1f23f857e4173a25f969879ef139487ec1c9955e	proportional	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1163	heavygee	0fceb44a4a20b2dc49ab8b810b08c2b7b8b6d86a	defer	draft	clear	missing	-	review-huge	not-accepted	defer: draft; latest head is not release-ready
pr-1158	techotaku39	7a498c8ea94c5bb6940e742ba1b6740de1c70f3d	defer	merge-dirty	clear	findings	7a498c8ea94c5bb6940e742ba1b6740de1c70f3d	proportional	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1157	techotaku39	5366c6abbdf84e84397d97ca171e9d636b087b33	defer	merge-dirty	clear	clean	5366c6abbdf84e84397d97ca171e9d636b087b33	proportional	unjustified-change	defer: clean implementation, but adds a persistent preference for alternate tool grouping rather than fixing a correctness gap
pr-1147	City-Zero	52338ba5c318427d19f966090d900bb447953a66	defer	ready	clear	findings	52338ba5c318427d19f966090d900bb447953a66	proportional	not-accepted	defer: latest-head HAPI Bot verdict is findings
pr-1126	GoldenZqqq	31ce48080df1a62150e9fe7e0a86fde511ef3cc2	defer	merge-dirty	clear	findings	31ce48080df1a62150e9fe7e0a86fde511ef3cc2	proportional	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1115	techotaku39	f5a519d0963a4212f4fb678838e803c747653935	defer	merge-dirty	clear	findings	f5a519d0963a4212f4fb678838e803c747653935	review-large	not-accepted	defer: merge-unstable; latest head is not release-ready
pr-1108	heavygee	35076b6bd6a41b16ce0e0317d7f082ffa4b050dc	defer	merge-dirty	blocked	missing	-	review-huge	not-accepted	defer: 9064 additions/91 files, no latest-head clean bot verdict, and maintainer asked to reduce/split scope
pr-1099	NPUlrk	91116cd9089107625d95ae2bc99fa615ef87d6a6	defer	merge-dirty	clear	missing	-	proportional	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1093	techotaku39	e0a3924f22b66a0dc10a314fb6c5e0ea95414e67	defer	merge-dirty	clear	clean	e0a3924f22b66a0dc10a314fb6c5e0ea95414e67	proportional	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1092	zulinliu	4427e6e08b2fed4429c793af2841f7f47fb70bac	defer	merge-dirty	clear	clean	4427e6e08b2fed4429c793af2841f7f47fb70bac	review-huge	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1091	zulinliu	0cf0d70310e9c58c5a41509793260a003822a9b4	defer	merge-dirty	clear	clean	0cf0d70310e9c58c5a41509793260a003822a9b4	review-huge	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1087	heavygee	455371ca714340e2d357d61e8406f548592e8346	carry	ready	clear	clean	455371ca714340e2d357d61e8406f548592e8346	proportional	preserve	linked bug/feature with focused tests; latest-head review inspected
pr-1059	Arnie97	37deeeba5263ceb402429c069e911eac96eb406e	defer	merge-dirty	clear	missing	-	proportional	not-accepted	defer: merge-dirty; latest head is not release-ready
pr-1054	DullJZ	9cbe9b1fa24edec152bb610e0b1049930c723432	defer	merge-unstable	clear	clean	9cbe9b1fa24edec152bb610e0b1049930c723432	proportional	not-accepted	defer: merge-unstable; latest head is not release-ready
pr-997	swear01	435dcaad7919e394cafaacdad3c369781aaaa274	carry	ready	clear	clean	435dcaad7919e394cafaacdad3c369781aaaa274	proportional	preserve	personal-author auto-carry; linked bug/feature with focused tests; latest-head review inspected
pr-987	heavygee	4d401093ae17cd2902d58dae35a7ef27db41b49f	defer	merge-dirty	clear	clean	4d401093ae17cd2902d58dae35a7ef27db41b49f	review-huge	not-accepted	defer: 3581 additions/40 files exceeds the normal acceptance threshold without official maintainer acceptance
