upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1761	techotaku39	abc627096819353aec191d05ba8a369fd8233646	carry	ready	clear	clean	abc627096819353aec191d05ba8a369fd8233646	proportional	preserve	focused tested file-browser tab persistence at the exact clean head
pr-1760	techotaku39	113e321bca63fd80065123f3bcf7820ce1a74257	carry	ready	clear	clean	113e321bca63fd80065123f3bcf7820ce1a74257	proportional	accepted-change	focused tested session-summary settings copy correction at the exact clean head
pr-1759	techotaku39	50c842d4e61dd259b9ed0332e26723404eac9dad	defer	ready	clear	clean	50c842d4e61dd259b9ed0332e26723404eac9dad	proportional	review	PWA taskbar badge changes browser and OS behavior with only mocked platform coverage and no maintainer acceptance
pr-1758	techotaku39	7586340d9d8703f147311392eea0717119d96d20	defer	ready	clear	clean	7586340d9d8703f147311392eea0717119d96d20	proportional	review	preference-heavy session pinning modes lack focused active-transition and filter-interaction coverage
pr-1757	techotaku39	2763682dcc12e14cab7c94c91bd9e6faa5e90cd0	carry	ready	clear	clean	2763682dcc12e14cab7c94c91bd9e6faa5e90cd0	proportional	preserve	focused tested POSIX and Windows recent-path compaction preserves accessible full labels
pr-1755	junmo-kim	90063c1384974d228c8839d65461fef080a0f9ef	carry	ready	clear	clean	90063c1384974d228c8839d65461fef080a0f9ef	proportional	preserve	Windows CIM runner identity checks keep unverifiable PIDs out of every destructive stop path
pr-1754	techotaku39	99abf602c215dbb81ad54d6de60b62ed650b7c50	carry	ready	clear	clean	99abf602c215dbb81ad54d6de60b62ed650b7c50	proportional	accepted-change	focused tested file-source word-wrap preference at the exact clean head
pr-1753	heavygee	9dc0d41826008169ed2ecef3d83b31f60d9c553e	defer	ready	clear	findings	9dc0d41826008169ed2ecef3d83b31f60d9c553e	proportional	preserve	exact-head bot Major: startup prewarm can reject valid newly available Cursor models from a stale catalog
pr-1751	junmo-kim	ce3756a347e98cd1bf71ae506bcf628e810bdb41	defer	ready	clear	clean	ce3756a347e98cd1bf71ae506bcf628e810bdb41	proportional	review	cross-platform Claude permission-mode behavior lacks end-to-end validation through real runners and maintainer acceptance
pr-1750	welfvh	19bbd1db1df82e65209033efad9bdf0b4141a67e	carry	ready	clear	clean	19bbd1db1df82e65209033efad9bdf0b4141a67e	proportional	preserve	focused tested cancellation ACK keeps ambiguous queued-message outcomes indeterminate
pr-1748	hu9029	6138637337bf0e54182664cf7eb3810393e1c005	carry	ready	clear	clean	6138637337bf0e54182664cf7eb3810393e1c005	proportional	preserve	focused async-stdin and stale-process guards ignore late Codex app-server writes during disconnect
pr-1747	wu736139669	a8e8d6e91b8c6f8a8b3495fb6ba214cdc8594eb6	defer	ready	clear	findings	a8e8d6e91b8c6f8a8b3495fb6ba214cdc8594eb6	proportional	preserve	exact-head bot Major mounts full session history in compact mode; hidden filters also remain active
pr-1745	ZJUFangzh	8a12664aad7124a05d1ee707dd6c52b1e4b8d8fc	defer	ready	clear	clean	8a12664aad7124a05d1ee707dd6c52b1e4b8d8fc	exception	preserve	upstream index migration assumes schema V25 to V26; maintained schema V29 would require an otherwise unnecessary V30 database bump
pr-1742	junmo-kim	37207319f814a96d7c41c49c79b77daf903847e0	defer	ready	clear	clean	37207319f814a96d7c41c49c79b77daf903847e0	proportional	review	PWA theme-color removal changes desktop and light-mode platform behavior without live platform validation
pr-1741	HongChenGG	c22780ba5588340ff2813f9e139f2abaa35f7e65	defer	ready	clear	clean	c22780ba5588340ff2813f9e139f2abaa35f7e65	exception	review	stable streamed-block ID fix head also changes unrelated title-provider limits and timeout behavior
pr-1738	heavygee	5a695fbd1bd367fe15835f9f9742cc37fe9fc160	defer	ready	clear	clean	5a695fbd1bd367fe15835f9f9742cc37fe9fc160	proportional	review	security and provenance-sensitive peer summary capture lacks route-level regression coverage
pr-1733	heavygee	ef4636a9fa07932dabaeec76a6e8263d21bfdd78	defer	ready	clear	findings	ef4636a9fa07932dabaeec76a6e8263d21bfdd78	proportional	review	exact-head bot still reports a Major stale scrollbar tick-position finding
pr-1730	techotaku39	ea03e477e79bbcc26db781c3d36d8fe40650f758	defer	ready	clear	clean	ea03e477e79bbcc26db781c3d36d8fe40650f758	proportional	review	preference-heavy browser-sensitive common scrollbar behavior lacks maintainer acceptance
pr-1729	techotaku39	f04288cacaae35ee2c50b381bc4db5604eb03f80	carry	ready	clear	clean	f04288cacaae35ee2c50b381bc4db5604eb03f80	proportional	accepted-change	focused tested expanded-composer Enter newline and Ctrl or Command Enter send behavior
pr-1728	techotaku39	7a93bb406734417589da0be5d344161cdd0723b9	carry	ready	clear	clean	7a93bb406734417589da0be5d344161cdd0723b9	proportional	accepted-change	expanded composer now collapses at submit while maintained send-failure draft recovery remains intact; focused tests pass
